,ISIN,RIC,name,symbol
174,TH8291010008,TH:GAHREIT,GRANDE HOSPITALITY REIT UNIT,GAHREIT
175,TH0798010003,TH:GBX,GLOBLEX HOLDING,GBX
176,TH0873010001,TH:GC,GLOBAL CONNECTIONS,GC
177,TH0224E10Z09,TH:GEN,GENERAL ENGINEERING,GEN
178,TH0636010Z01,TH:GENCO,GENERAL ENV.CVT.,GENCO
179,TH0297010Z02,TH:GFPT,GFPT,GFPT
180,TH7920010Z02,TH:GGC,GLOBAL GREEN CHEMICALS,GGC
181,TH1058010Y08,TH:GIFT,GRATITUDE INFINITE,GIFT
182,TH0585D10Z03,TH:GJS,G J STEEL,GJS
183,TH0799010Z07,TH:GL,GROUP LEASE,GL
184,TH0538A10Z04,TH:GLAND,GRAND CANAL LAND,GLAND
185,TH0991010008,TH:GLOBAL,SIAM GLOBAL HOUSE,GLOBAL
186,TH0404B10Y05,TH:GLOCON,GLOBAL CONSUMER,GLOCON
187,TH0400010Z02,TH:GOLD,GOLDEN LAND PR.DEV.,GOLD
188,TH0945010005,TH:GOLDPF,GOLD PROPERTY (LEASE HOLD),GOLDPF
189,TH8316010009,TH:GPI,GRAND PRIX INTERNATIONAL,GPI
190,TH6488010005,TH:GPSC,GLOBAL POWER SYNERGY,GPSC
191,TH0473010Z09,TH:GRAMMY,GMM GRAMMY,GRAMMY
192,TH0763010Y04,TH:GRAND,GRANDE ASST.HTLS.& PR.,GRAND
193,TH0876A10Y05,TH:GREEN,GREEN RESOURCES,GREEN
194,TH8319010Z06,TH:GULF,GULF ENERGY DEVELOPMENT,GULF
195,TH1041010Z03,TH:GUNKUL,GUNKUL ENGINEERING,GUNKUL
196,TH7139010006,TH:GVREIT,GOLDEN VENTURES LEASEHOLD REIT,GVREIT
197,TH0034010Z09,TH:GYT,GOODYEAR (THAILAND),GYT
198,TH0324B10Z01,TH:HANA,HANA MICROELECTRONICS,HANA
199,TH0755010Z09,TH:HFT,HWA FONG RUBBER (THAI.),HFT
200,TH0661010007,TH:HMPRO,HOME PRODUCT CENTER,HMPRO
201,TH5123010008,TH:HPF,HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD,HPF
202,TH7585010005,TH:HREIT,HEMARAJ LEASEHOLD REIT UNITS,HREIT
203,TH0140010Z04,TH:HTC,HAAD THIP,HTC
204,TH1003010002,TH:HTECH,HALCYON TECHNOLOGY,HTECH
205,TH8335010006,TH:HUMAN,HUMANICA,HUMAN
206,TH0046010Z03,TH:ICC,ICC INTERNATIONAL,ICC
207,TH5048010000,TH:ICHI,ICHITAN GROUP,ICHI
208,TH1036010003,TH:IFS,IFS CAP.(THAILAND),IFS
209,TH0886010Z02,TH:IHL,INTERHIDES,IHL
210,TH8127010008,TH:III,TRIPLE I LOGISTICS,III
211,TH0781010002,TH:ILINK,INTERLINK COMMUNICATION,ILINK
212,TH9249010009,TH:ILM,INDEX LIVING M,ILM
213,TH5882010009,TH:IMPACT,IPCT.GW.REIT.TST. UTS.,IMPACT
214,TH0662010006,TH:INET,INTERNET THAILAND,INET
215,TH8126010009,TH:INGRS,INGRESS INDUSTRIAL,INGRS
216,TH0814010Y05,TH:INOX,POSCO-THAINOX,INOX
217,TH0217010006,TH:INSURE,INDARA INSURANCE,INSURE
218,TH0201A10Y01,TH:INTUCH,INTOUCH HOLDINGS,INTUCH
219,TH0437010Z04,TH:IRC,INOUE RUBBER,IRC
220,TH0471010Y04,TH:IRPC,IRPC,IRPC
221,TH0706010Z02,TH:IT,IT CITY,IT
222,TH0438010Z02,TH:ITD,ITALIAN-THAI DEVELOPMENT,ITD
223,TH1027010004,TH:IVL,INDORAMA VENTURES,IVL
224,TH6823010009,TH:J,JAS ASSET,J
225,TH0418G10Z03,TH:JAS,JASMINE INTERNATIONAL,JAS
226,TH6247010007,TH:JASIF,JASMINE BROADBAND INET. INFRASTRUCTURE FUND,JASIF
227,TH0235010Y03,TH:JCK,JCK INTERNATIONAL ORS,JCK
228,TH0204010001,TH:JCT,JACK CHIA INDUSTRIES,JCT
229,TH1007010008,TH:JMART,JAY MART,JMART
230,TH3925010Z05,TH:JMT,JMT NETWORK SERVICES,JMT
231,TH0921010003,TH:JTS,JASMINE TELECOM SYS.,JTS
