Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker,Type
2015-11-16,"1,388.62",1370.51,1388.81,1368.79,8.04B,0.45,1388.62,8039999999.999999,2015-11-16,SET,StockIndex
2015-11-17,"1,390.17",1396.54,1398.19,1388.76,8.44B,0.11,1390.17,8439999999.999999,2015-11-17,SET,StockIndex
2015-11-18,"1,376.82",1390.95,1394.28,1374.97,7.92B,-0.96,1376.82,7920000000.0,2015-11-18,SET,StockIndex
2015-11-19,"1,384.97",1384.19,1388.34,1381.41,8.94B,0.59,1384.97,8940000000.0,2015-11-19,SET,StockIndex
2015-11-20,"1,393.84",1386.99,1396.33,1383.14,7.70B,0.64,1393.84,7700000000.0,2015-11-20,SET,StockIndex
2015-11-23,"1,394.22",1397.27,1401.77,1393.99,7.49B,0.03,1394.22,7490000000.0,2015-11-23,SET,StockIndex
2015-11-24,"1,384.92",1395.73,1400.2,1383.03,7.62B,-0.67,1384.92,7620000000.0,2015-11-24,SET,StockIndex
2015-11-25,"1,381.46",1388.53,1391.08,1377.88,7.07B,-0.25,1381.46,7070000000.0,2015-11-25,SET,StockIndex
2015-11-26,"1,365.81",1383.84,1386.13,1363.61,8.69B,-1.13,1365.81,8690000000.0,2015-11-26,SET,StockIndex
2015-11-27,"1,363.13",1364.17,1368.92,1359.96,7.12B,-0.2,1363.13,7120000000.0,2015-11-27,SET,StockIndex
2015-11-30,"1,359.70",1360.72,1369.99,1354.1,8.63B,-0.25,1359.7,8630000000.0,2015-11-30,SET,StockIndex
2015-12-01,"1,357.01",1363.13,1364.83,1353.08,8.09B,-0.2,1357.01,8090000000.0,2015-12-01,SET,StockIndex
2015-12-02,"1,339.45",1356.88,1364.96,1339.3,8.98B,-1.29,1339.45,8980000000.0,2015-12-02,SET,StockIndex
2015-12-03,"1,340.62",1332.6,1342.21,1325.86,9.90B,0.09,1340.62,9900000000.0,2015-12-03,SET,StockIndex
2015-12-04,"1,333.57",1334.26,1337.73,1330.87,7.40B,-0.53,1333.57,7400000000.0,2015-12-04,SET,StockIndex
2015-12-08,"1,306.98",1323.85,1324.61,1306.2,8.61B,-1.99,1306.98,8610000000.0,2015-12-08,SET,StockIndex
2015-12-09,"1,297.82",1309.22,1316.19,1294.41,7.73B,-0.7,1297.82,7730000000.0,2015-12-09,SET,StockIndex
2015-12-11,"1,280.92",1297.1,1297.73,1278.3,7.48B,-1.3,1280.92,7480000000.0,2015-12-11,SET,StockIndex
2015-12-14,"1,267.61",1262.44,1270.04,1251.99,8.35B,-1.04,1267.61,8350000000.0,2015-12-14,SET,StockIndex
2015-12-15,"1,300.51",1276.96,1300.53,1273.29,10.77B,2.6,1300.51,10770000000.0,2015-12-15,SET,StockIndex
2015-12-16,"1,299.12",1304.76,1308.54,1296.24,8.97B,-0.11,1299.12,8970000000.0,2015-12-16,SET,StockIndex
2015-12-17,"1,310.34",1297.16,1313.09,1296.25,8.76B,0.86,1310.34,8760000000.0,2015-12-17,SET,StockIndex
2015-12-18,"1,284.92",1302.05,1302.39,1284.36,8.67B,-1.94,1284.92,8670000000.0,2015-12-18,SET,StockIndex
2015-12-21,"1,264.44",1271.28,1280.08,1262.28,11.88B,-1.59,1264.44,11880000000.0,2015-12-21,SET,StockIndex
2015-12-22,"1,261.66",1274.71,1278.94,1258.73,11.94B,-0.22,1261.66,11940000000.0,2015-12-22,SET,StockIndex
2015-12-23,"1,274.50",1270.47,1275.94,1266.25,7.68B,1.02,1274.5,7680000000.0,2015-12-23,SET,StockIndex
2015-12-24,"1,284.15",1285.7,1287.1,1280.02,6.63B,0.76,1284.15,6630000000.0,2015-12-24,SET,StockIndex
2015-12-25,"1,282.93",1286.66,1287.46,1275.43,4.68B,-0.1,1282.93,4680000000.0,2015-12-25,SET,StockIndex
2015-12-28,"1,285.87",1285.65,1287.39,1280.98,5.11B,0.23,1285.87,5110000000.0,2015-12-28,SET,StockIndex
2015-12-29,"1,283.78",1281.9,1287.36,1276.47,5.15B,-0.16,1283.78,5150000000.0,2015-12-29,SET,StockIndex
2015-12-30,"1,288.02",1285.52,1294.84,1285.29,6.32B,0.33,1288.02,6320000000.0,2015-12-30,SET,StockIndex
2016-01-04,"1,263.41",1286.26,1286.36,1260.96,9.40B,-1.91,1263.41,9400000000.0,2016-01-04,SET,StockIndex
2016-01-05,"1,253.34",1267.99,1270.07,1251.87,9.88B,-0.8,1253.34,9880000000.0,2016-01-05,SET,StockIndex
