Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker
2016-02-08,825.48,827.29,830.54,823.44,645.71M,-0.34,825.48,645710000.0,2016-02-08,SET50
2016-02-09,821.52,818.41,822.54,814.14,1.04B,-0.48,821.52,1040000000.0,2016-02-09,SET50
2016-02-10,822.04,818.24,823.77,814.7,1.02B,0.06,822.04,1020000000.0,2016-02-10,SET50
2016-02-11,804.55,817.41,823.4,804.55,1.47B,-2.13,804.55,1470000000.0,2016-02-11,SET50
2016-02-12,804.38,806.41,809.31,798.9,1.18B,-0.02,804.38,1180000000.0,2016-02-12,SET50
2016-02-15,812.74,812.34,817.3,809.46,861.58M,1.04,812.74,861580000.0,2016-02-15,SET50
2016-02-16,814.10,818.95,821.21,812.3,928.48M,0.17,814.1,928480000.0,2016-02-16,SET50
2016-02-17,814.71,811.69,815.06,803.75,1.39B,0.07,814.71,1390000000.0,2016-02-17,SET50
2016-02-18,822.03,822.3,825.79,815.68,1.43B,0.9,822.03,1430000000.0,2016-02-18,SET50
2016-02-19,844.43,821.76,844.45,820.99,1.66B,2.72,844.43,1660000000.0,2016-02-19,SET50
2016-02-23,848.50,848.01,851.46,842.71,1.64B,0.48,848.5,1640000000.0,2016-02-23,SET50
2016-02-24,851.36,844.57,855.85,842.53,1.28B,0.34,851.36,1280000000.0,2016-02-24,SET50
2016-02-25,851.17,855.18,855.94,845.96,1.33B,-0.02,851.17,1330000000.0,2016-02-25,SET50
2016-02-26,859.51,854.87,860.26,853.16,1.47B,0.98,859.51,1470000000.0,2016-02-26,SET50
2016-02-29,851.02,859.14,859.86,851.02,1.19B,-0.99,851.02,1190000000.0,2016-02-29,SET50
2016-03-01,865.40,854.2,865.4,850.96,2.48B,1.69,865.4,2480000000.0,2016-03-01,SET50
2016-03-02,879.95,871.97,886.0,869.52,4.64B,1.68,879.95,4640000000.0,2016-03-02,SET50
2016-03-03,890.96,884.51,894.33,882.78,2.69B,1.25,890.96,2690000000.0,2016-03-03,SET50
2016-03-04,889.89,896.39,898.49,887.45,2.57B,-0.12,889.89,2570000000.0,2016-03-04,SET50
2016-03-07,905.47,895.56,905.56,894.81,4.57B,1.75,905.47,4570000000.0,2016-03-07,SET50
2016-03-08,887.92,901.13,906.53,886.78,3.90B,-1.94,887.92,3900000000.0,2016-03-08,SET50
2016-03-09,900.49,884.38,900.51,880.02,2.59B,1.42,900.49,2590000000.0,2016-03-09,SET50
2016-03-10,887.86,900.77,901.03,886.44,2.84B,-1.4,887.86,2840000000.0,2016-03-10,SET50
2016-03-11,899.73,893.19,902.97,892.35,2.62B,1.34,899.73,2620000000.0,2016-03-11,SET50
2016-03-14,899.54,905.62,910.48,897.9,2.18B,-0.02,899.54,2180000000.0,2016-03-14,SET50
2016-03-15,889.12,895.12,896.79,886.66,1.60B,-1.16,889.12,1600000000.0,2016-03-15,SET50
2016-03-16,883.15,892.34,897.06,877.2,2.18B,-0.67,883.15,2180000000.0,2016-03-16,SET50
2016-03-17,886.31,892.16,893.58,886.07,2.02B,0.36,886.31,2020000000.0,2016-03-17,SET50
2016-03-18,888.84,891.59,893.84,882.69,1.84B,0.29,888.84,1840000000.0,2016-03-18,SET50
2016-03-21,898.86,889.93,898.88,886.52,2.04B,1.13,898.86,2040000000.0,2016-03-21,SET50
2016-03-22,902.10,905.63,906.43,896.59,1.27B,0.36,902.1,1270000000.0,2016-03-22,SET50
2016-03-23,913.76,900.59,914.08,897.85,2.48B,1.29,913.76,2480000000.0,2016-03-23,SET50
2016-03-24,907.57,909.03,913.64,905.92,1.76B,-0.68,907.57,1760000000.0,2016-03-24,SET50
2016-03-25,897.50,908.57,910.86,897.5,1.42B,-1.11,897.5,1420000000.0,2016-03-25,SET50
2016-03-28,893.29,897.65,900.74,891.23,1.33B,-0.47,893.29,1330000000.0,2016-03-28,SET50
2016-03-29,895.07,892.85,896.22,889.86,1.11B,0.2,895.07,1110000000.0,2016-03-29,SET50
2016-03-30,908.79,901.71,916.95,901.21,1.88B,1.53,908.79,1880000000.0,2016-03-30,SET50
2016-03-31,905.93,905.22,909.8,900.45,1.13B,-0.31,905.93,1130000000.0,2016-03-31,SET50
2016-04-01,899.39,902.6,903.9,895.26,1.33B,-0.72,899.39,1330000000.0,2016-04-01,SET50
2016-04-04,897.12,897.86,899.58,894.23,961.60M,-0.25,897.12,961600000.0,2016-04-04,SET50
