Date,High,Low,Open,Close,Volume,Adj Close,SMA,WMA,ADOSC,ATR,RSI,Actual,Predict
2017-04-11,29.0,27.5,27.5,28.75,29126000.0,26.52197074890137,27.34,27.399462365591397,11325241.843046471,0.6167706528504505,68.15781065230992,29.0,28.86588701914424
2017-04-12,29.0,28.25,29.0,29.0,16423400.0,26.752593994140625,27.4,27.50483870967742,18315680.691428147,0.626287034789704,70.48871054326892,28.25,29.18974305501389
2017-04-17,28.75,28.25,28.75,28.25,10245700.0,26.060718536376953,27.42,27.558064516129033,16250348.33927264,0.6351236751618681,57.006753274585165,28.0,28.107617240037886
2017-04-18,28.75,27.75,28.5,28.0,12552800.0,25.830093383789066,27.44,27.593548387096774,11931098.891638778,0.6611862697931633,53.34419948879905,28.0,27.81929380855989
2017-04-19,28.25,27.75,27.75,28.0,4873700.0,25.830093383789066,27.46,27.629032258064516,9079487.854730487,0.6496729648079373,53.34419948879905,28.0,27.838570406380274
2017-04-20,28.25,28.0,28.25,28.0,1194200.0,25.830093383789066,27.5,27.663440860215054,6707538.989201598,0.6211248958930847,53.344199488799035,28.0,27.86104845630263
2017-04-21,28.5,28.0,28.25,28.0,7142800.0,25.830093383789066,27.53,27.696236559139784,2854710.9088305384,0.6124731176150072,53.34419948879905,27.75,27.87573132725905
2017-04-24,28.5,27.75,28.25,27.75,9373700.0,25.599468231201172,27.56,27.711827956989247,-1963506.1157603934,0.6222964663567925,49.101060033149395,27.5,27.520665288558327
2017-04-25,28.25,27.25,28.0,27.5,11910400.0,25.368839263916016,27.58,27.711290322580645,-5650930.706205748,0.6492752901884502,45.226866714052164,27.5,27.187767421702766
2017-04-26,27.5,27.0,27.5,27.5,7114900.0,25.368839263916016,27.58,27.710752688172043,-4381869.792641968,0.6386127694607037,45.22686671405216,27.5,27.19192619192581
2017-04-27,27.75,27.25,27.5,27.5,3499100.0,25.368839263916016,27.59,27.71021505376344,-3464356.7104893327,0.6287118573563676,45.226866714052164,27.25,27.196395694000103
2017-04-28,27.5,27.25,27.25,27.25,3488700.0,25.138214111328125,27.61,27.69247311827957,-3884109.8395642266,0.6016610104023413,41.16970579605424,27.5,26.84334647867468
2017-05-02,27.75,27.25,27.5,27.5,6156000.0,25.368839263916016,27.64,27.690860215053764,-3702726.134225391,0.5943995096593169,46.35245581259105,27.25,27.278643590054877
2017-05-03,27.5,27.0,27.5,27.25,8726700.0,25.138214111328125,27.65,27.672043010752688,-3291912.2425662875,0.5876566875407941,42.33590916207582,27.25,26.93189629515627
2017-05-04,27.5,27.25,27.25,27.25,2849300.0,25.138214111328125,27.65,27.65268817204301,-3731182.719381541,0.5635383527164517,42.33590916207582,27.5,26.911616451847298
2017-05-08,27.75,27.25,27.25,27.5,6140300.0,25.60373497009277,27.66,27.65,-3571685.8490440026,0.5589998989509909,47.6017333414903,27.25,27.34950578619796
2017-05-09,27.75,27.25,27.5,27.25,2729900.0,25.37097549438477,27.67,27.63064516129032,-4050342.961265549,0.5547856204544915,43.33956913078411,27.0,26.97818320358357
2017-05-11,27.5,26.75,27.25,27.0,7169500.0,25.138214111328125,27.67,27.594086021505376,-4638345.753119923,0.5687295047077422,39.52805495857618,26.75,26.62953910610808
2017-05-12,27.25,26.75,27.0,26.75,2908000.0,24.90545463562012,27.65,27.540860215053762,-5382497.281322181,0.5638202543714749,36.108230320050446,26.75,26.293591418675632
2017-05-15,26.75,26.75,26.75,26.75,440500.0,24.90545463562012,27.63,27.488172043010753,-5197604.971830174,0.5235473790592267,36.108230320050446,26.75,26.24332329038838
2017-05-16,27.0,26.75,27.0,26.75,2353000.0,24.90545463562012,27.61,27.436559139784947,-5398139.484144352,0.5040082805549961,36.108230320050446,26.75,26.194212292857024
2017-05-17,27.0,26.75,26.75,26.75,3080500.0,24.90545463562012,27.58,27.386021505376345,-5969595.467896104,0.485864831943925,36.10823032005045,27.0,26.142688244118723
2017-05-18,27.0,26.5,26.75,27.0,2284500.0,25.138214111328125,27.55,27.352150537634408,-4933796.055076718,0.4868744868050732,42.768231303268855,26.75,26.6679404226307
2017-05-19,27.0,26.5,27.0,26.75,2919300.0,24.90545463562012,27.51,27.302150537634407,-4061533.0175527334,0.4878120234618537,38.45174727336099,27.0,26.26419909092088
2017-05-22,27.5,26.75,27.0,27.0,13245900.0,25.138214111328125,27.48,27.269354838709678,-4740336.04606086,0.5065397360717213,44.48565609280579,27.5,26.732353949056264
2017-05-23,27.75,27.0,27.25,27.5,14065500.0,25.60373497009277,27.43,27.269354838709678,-3095293.09899047,0.5239297549237413,54.16406172067174,27.25,27.537435345823944
2017-05-24,27.75,27.25,27.5,27.25,5052600.0,25.37097549438477,27.36,27.252688172043012,-3748576.157098919,0.5222204867149026,49.51573617564212,27.75,27.121324311049595
2017-05-25,27.75,27.25,27.25,27.75,7219600.0,25.83650016784668,27.34,27.268817204301076,-1377903.2120433748,0.5206333090924096,57.39155436883291,27.5,27.796612592265888
2017-05-26,28.0,27.5,27.75,27.5,6137400.0,25.60373497009277,27.32,27.268817204301076,-2235627.6243349016,0.5191595013000946,52.94409611220875,27.75,27.419114745879927
2017-05-29,28.0,27.5,27.5,27.75,9165600.0,25.83650016784668,27.31,27.28548387096774,-2383276.008969173,0.517790965492945,56.56862954669023,27.5,27.73186285649619
2017-05-30,28.0,27.5,28.0,27.5,3190900.0,25.60373497009277,27.29,27.286021505376343,-3242302.529140532,0.516520182243449,52.23562201338713,27.25,27.36434494176182
2017-05-31,27.75,27.25,27.75,27.25,3623000.0,25.37097549438477,27.26,27.273118279569893,-4451740.421106964,0.5153401692260597,48.255085945464245,27.5,27.011671249666446
2017-06-01,27.75,27.25,27.25,27.5,2817300.0,25.60373497009277,27.25,27.28010752688172,-4541806.793174416,0.5142444428527698,52.17948969938864,27.5,27.341625270770706
2017-06-02,27.75,27.25,27.5,27.5,3706300.0,25.60373497009277,27.25,27.288709677419355,-4165760.6005497873,0.5132269826490006,52.17948969938864,27.25,27.350322546353112
2017-06-05,27.5,27.0,27.5,27.25,6470700.0,25.37097549438477,27.24,27.282258064516128,-3633218.012607932,0.512282198174072,47.96094093143843,27.25,26.994520508895853
2017-06-06,27.5,27.0,27.25,27.25,2492000.0,25.37097549438477,27.23,27.27741935483871,-3085067.1345764548,0.5114048983044953,47.96094093143842,27.75,26.991059072840635
2017-06-07,27.75,27.25,27.25,27.75,8563200.0,25.83650016784668,27.25,27.306451612903224,144291.60048882663,0.510590262711317,56.178611755364784,27.5,27.71653297268566
2017-06-08,27.75,27.5,27.75,27.5,2610500.0,25.60373497009277,27.25,27.31989247311828,621661.8466074765,0.49197667251765154,51.77607381080953,27.25,27.361781182834957
