,symbol,exchange,industry,sector,name
HFT,HFT,SET,Industrials,Automotive,HWA FONG RUBBER (THAILAND) PUBLIC COMPANY LIMITED
HMPRO,HMPRO,SET,Services,Commerce,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED
HPF,HPF,SET,Property & Construction,Property Fund & REITs,HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD FUND
HPT,HPT,MAI,Consumer Products,-,HOME POTTERY PUBLIC COMPANY LIMITED
HREIT,HREIT,SET,Property & Construction,Property Fund & REITs,HEMARAJ LEASEHOLD REAL ESTATE INVESTMENT TRUST
HTC,HTC,SET,Agro & Food Industry,Food & Beverage,HAAD THIP PUBLIC COMPANY LIMITED
HTECH,HTECH,SET,Industrials,Industrial Materials & Machinery,HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED
HUMAN,HUMAN,SET,Technology,Information & Communication Technology,HUMANICA PUBLIC COMPANY LIMITED
HYDRO,HYDRO,MAI,Property & Construction,-,HYDROTEK PUBLIC COMPANY LIMITED
ICC,ICC,SET,Consumer Products,Fashion,I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED
ICHI,ICHI,SET,Agro & Food Industry,Food & Beverage,ICHITAN GROUP PUBLIC COMPANY LIMITED
ICN,ICN,MAI,Technology,-,INFORMATION AND COMMUNICATION NETWORKS PUBLIC COMPANY LIMITED
IFEC,IFEC,SET,Resources,Energy & Utilities,INTER FAR EAST ENERGY CORPORATION PUBLIC COMPANY LIMITED
IFS,IFS,SET,Financials,Finance & Securities,IFS CAPITAL (THAILAND) PUBLIC COMPANY LIMITED
IHL,IHL,SET,Industrials,Automotive,INTERHIDES PUBLIC COMPANY LIMITED
IIG,IIG,MAI,Technology,-,I&I GROUP PUBLIC COMPANY LIMITED
III,III,SET,Services,Transportation & Logistics,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED
ILINK,ILINK,SET,Technology,Information & Communication Technology,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED
ILM,ILM,SET,Services,Commerce,INDEX LIVING MALL PUBLIC COMPANY LIMITED
IMH,IMH,MAI,Services,-,INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED
IMPACT,IMPACT,SET,Property & Construction,Property Fund & REITs,IMPACT GROWTH REAL ESTATE INVESTMENT TRUST
INET,INET,SET,Technology,Information & Communication Technology,INTERNET THAILAND PUBLIC COMPANY LIMITED
INGRS,INGRS,SET,Industrials,Automotive,INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED
INOX,INOX,SET,Industrials,Steel,POSCO-THAINOX PUBLIC COMPANY LIMITED
INSET,INSET,MAI,Technology,-,INFRASET PUBLIC COMPANY LIMITED
INSURE,INSURE,SET,Financials,Insurance,INDARA INSURANCE PUBLIC COMPANY LIMITED
INTUCH,INTUCH,SET,Technology,Information & Communication Technology,INTOUCH HOLDINGS PUBLIC COMPANY LIMITED
IP,IP,MAI,Consumer Products,-,INTER PHARMA PUBLIC COMPANY LIMITED
IRC,IRC,SET,Industrials,Automotive,INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED
IRCP,IRCP,MAI,Technology,-,"INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD."
IRPC,IRPC,SET,Resources,Energy & Utilities,IRPC PUBLIC COMPANY LIMITED
IT,IT,SET,Services,Commerce,IT CITY PUBLIC COMPANY LIMITED
ITD,ITD,SET,Property & Construction,Construction Services,ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED
ITEL,ITEL,MAI,Technology,-,INTERLINK TELECOM PUBLIC COMPANY LIMITED
IVL,IVL,SET,Industrials,Petrochemicals & Chemicals,INDORAMA VENTURES PUBLIC COMPANY LIMITED
J,J,SET,Property & Construction,Property Development,JAS ASSET PUBLIC COMPANY LIMITED
JAS,JAS,SET,Technology,Information & Communication Technology,JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED
JASIF,JASIF,SET,Technology,Information & Communication Technology,JASMINE BROADBAND INTERNET INFRASTRUCTURE FUND
JCK,JCK,SET,Property & Construction,Property Development,JCK INTERNATIONAL PUBLIC COMPANY LIMITED
JCKH,JCKH,MAI,Agro & Food Industry,-,JCK HOSPITALITY PUBLIC COMPANY LIMITED
JCT,JCT,SET,Consumer Products,Personal Products & Pharmaceuticals,JACK CHIA INDUSTRIES (THAILAND) PUBLIC COMPANY LIMITED
JKN,JKN,SET,Services,Media & Publishing,JKN GLOBAL MEDIA PUBLIC COMPANY LIMITED
JMART,JMART,SET,Technology,Information & Communication Technology,JAY MART PUBLIC COMPANY LIMITED
JMT,JMT,SET,Financials,Finance & Securities,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED
JR,JR,SET,Technology,Information & Communication Technology,J.R.W. UTILITY PUBLIC COMPANY LIMITED
JSP,JSP,MAI,Property & Construction,-,J.S.P. PROPERTY PUBLIC COMPANY LIMITED
JTS,JTS,SET,Technology,Information & Communication Technology,JASMINE TELECOM SYSTEMS PUBLIC COMPANY LIMITED
JUBILE,JUBILE,MAI,Consumer Products,-,JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED
JUTHA,JUTHA,SET,Services,Transportation & Logistics,JUTHA MARITIME PUBLIC COMPANY LIMITED
JWD,JWD,SET,Services,Transportation & Logistics,JWD INFOLOGISTICS PUBLIC COMPANY LIMITED
K,K,MAI,Property & Construction,-,KINGSMEN C.M.T.I. PUBLIC COMPANY LIMITED
KAMART,KAMART,SET,Services,Commerce,KARMARTS PUBLIC COMPANY LIMITED
KASET,KASET,MAI,Agro & Food Industry,-,THAI HA PUBLIC COMPANY LIMITED
KBANK,KBANK,SET,Financials,Banking,KASIKORNBANK PUBLIC COMPANY LIMITED
KBS,KBS,SET,Agro & Food Industry,Food & Beverage,KHONBURI SUGAR PUBLIC COMPANY LIMITED
KBSPIF,KBSPIF,SET,Resources,Energy & Utilities,KHONBURI SUGAR POWER PLANT INFRASTRUCTURE FUND
KC,KC,SET,Property & Construction,Property Development,K.C. PROPERTY PUBLIC COMPANY LIMITED
KCAR,KCAR,SET,Financials,Finance & Securities,KRUNGTHAI CAR RENT AND LEASE PUBLIC COMPANY LIMITED
KCE,KCE,SET,Technology,Electronic Components,KCE ELECTRONICS PUBLIC COMPANY LIMITED
KCM,KCM,MAI,Industrial,-,K.C. METALSHEET PUBLIC COMPANY LIMITED
KDH,KDH,SET,Services,Health Care Services,THONBURI MEDICAL CENTRE PUBLIC COMPANY LIMITED
KGI,KGI,SET,Financials,Finance & Securities,KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED
KIAT,KIAT,MAI,Services,-,KIATTANA TRANSPORT PUBLIC COMPANY LIMITED
KK,KK,MAI,Services,-,K&K SUPERSTORE SOUTHERN PUBLIC COMPANY LIMITED
KKC,KKC,SET,Industrials,Industrial Materials & Machinery,KULTHORN KIRBY PUBLIC COMPANY LIMITED
KKP,KKP,SET,Financials,Banking,KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED
KOOL,KOOL,MAI,Services,-,MASTERKOOL INTERNATIONAL PUBLIC COMPANY LIMITED
KPNPF,KPNPF,SET,Property & Construction,Property Fund & REITs,KPN PROPERTY FUND
KSL,KSL,SET,Agro & Food Industry,Food & Beverage,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED
KTB,KTB,SET,Financials,Banking,KRUNG THAI BANK PUBLIC COMPANY LIMITED
KTC,KTC,SET,Financials,Finance & Securities,KRUNGTHAI CARD PUBLIC COMPANY LIMITED
KTIS,KTIS,SET,Agro & Food Industry,Food & Beverage,KASET THAI INTERNATIONAL SUGAR CORPORATION PUBLIC COMPANY LIMITED
KUMWEL,KUMWEL,MAI,Industrial,-,KUMWELL CORPORATION PUBLIC COMPANY LIMITED
KUN,KUN,MAI,Property & Construction,-,VILLA KUNALAI PUBLIC COMPANY LIMITED
KWC,KWC,SET,Services,Transportation & Logistics,KRUNGDHEP SOPHON PUBLIC COMPANY LIMITED
KWG,KWG,SET,Property & Construction,Property Development,KING WAI GROUP (THAILAND) PUBLIC COMPANY LIMITED
KWM,KWM,MAI,Industrial,-,K. W. METAL WORK PUBLIC COMPANY LIMITED
KYE,KYE,SET,Consumer Products,Home & Office Products,KANG YONG ELECTRIC PUBLIC COMPANY LIMITED
L&E,L&E,SET,Consumer Products,Home & Office Products,LIGHTING & EQUIPMENT PUBLIC COMPANY LIMITED
LALIN,LALIN,SET,Property & Construction,Property Development,LALIN PROPERTY PUBLIC COMPANY LIMITED
LANNA,LANNA,SET,Resources,Energy & Utilities,THE LANNA RESOURCES PUBLIC COMPANY LIMITED
LDC,LDC,MAI,Services,-,LDC DENTAL PUBLIC COMPANY LIMITED
LEE,LEE,SET,Agro & Food Industry,Agribusiness,LEE FEED MILL PUBLIC COMPANY LIMITED
LEO,LEO,MAI,Services,-,LEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED
LH,LH,SET,Property & Construction,Property Development,LAND AND HOUSES PUBLIC COMPANY LIMITED
LHFG,LHFG,SET,Financials,Banking,LH FINANCIAL GROUP PUBLIC COMPANY LIMITED
LHHOTEL,LHHOTEL,SET,Property & Construction,Property Fund & REITs,LH HOTEL LEASEHOLD REAL ESTATE INVESTMENT TRUST
LHK,LHK,SET,Industrials,Steel,LOHAKIT METAL PUBLIC COMPANY LIMITED
LHPF,LHPF,SET,Property & Construction,Property Fund & REITs,LAND AND HOUSES FREEHOLD AND LEASEHOLD PROPERTY FUND
LHSC,LHSC,SET,Property & Construction,Property Fund & REITs,LH SHOPPING CENTERS LEASEHOLD REAL ESTATE INVESTMENT TRUST
LIT,LIT,MAI,Financials,-,LEASE IT PUBLIC COMPANY LIMITED
LOXLEY,LOXLEY,SET,Services,Commerce,LOXLEY PUBLIC COMPANY LIMITED
LPH,LPH,SET,Services,Health Care Services,LADPRAO GENERAL HOSPITAL PUBLIC COMPANY LIMITED
LPN,LPN,SET,Property & Construction,Property Development,L.P.N. DEVELOPMENT PUBLIC COMPANY LIMITED
LRH,LRH,SET,Services,Tourism & Leisure,LAGUNA RESORTS & HOTELS PUBLIC COMPANY LIMITED
LST,LST,SET,Agro & Food Industry,Food & Beverage,LAM SOON (THAILAND) PUBLIC COMPANY LIMITED
LUXF,LUXF,SET,Property & Construction,Property Fund & REITs,LUXURY REAL ESTATE INVESTMENT FUND
M,M,SET,Agro & Food Industry,Food & Beverage,MK RESTAURANT GROUP PUBLIC COMPANY LIMITED
MACO,MACO,SET,Services,Media & Publishing,MASTER AD PUBLIC COMPANY LIMITED
MAJOR,MAJOR,SET,Services,Media & Publishing,MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED
MAKRO,MAKRO,SET,Services,Commerce,SIAM MAKRO PUBLIC COMPANY LIMITED
MALEE,MALEE,SET,Agro & Food Industry,Food & Beverage,MALEE GROUP PUBLIC COMPANY LIMITED
MANRIN,MANRIN,SET,Services,Tourism & Leisure,THE MANDARIN HOTEL PUBLIC COMPANY LIMITED
MATCH,MATCH,SET,Services,Media & Publishing,MATCHING MAXIMIZE SOLUTION PUBLIC COMPANY LIMITED
MATI,MATI,SET,Services,Media & Publishing,MATICHON PUBLIC COMPANY LIMITED
MAX,MAX,SET,Agro & Food Industry,Agribusiness,MAX METAL CORPORATION PUBLIC COMPANY LIMITED
MBAX,MBAX,MAI,Industrial,-,MULTIBAX PUBLIC COMPANY LIMITED
MBK,MBK,SET,Property & Construction,Property Development,MBK PUBLIC COMPANY LIMITED
MBKET,MBKET,SET,Financials,Finance & Securities,MAYBANK KIM ENG SECURITIES (THAILAND) PUBLIC COMPANY LIMITED
MC,MC,SET,Services,Commerce,MC GROUP PUBLIC COMPANY LIMITED
M-CHAI,M-CHAI,SET,Services,Health Care Services,MAHACHAI HOSPITAL PUBLIC COMPANY LIMITED
MCOT,MCOT,SET,Services,Media & Publishing,MCOT PUBLIC COMPANY LIMITED
MCS,MCS,SET,Industrials,Steel,M.C.S.STEEL PUBLIC COMPANY LIMITED
MDX,MDX,SET,Resources,Energy & Utilities,M.D.X. PUBLIC COMPANY LIMITED
MEGA,MEGA,SET,Services,Commerce,MEGA LIFESCIENCES PUBLIC COMPANY LIMITED
META,META,MAI,Property & Construction,-,META CORPORATION PUBLIC COMPANY LIMITED
METCO,METCO,SET,Technology,Electronic Components,MURAMOTO ELECTRON (THAILAND) PUBLIC COMPANY LIMITED
MFC,MFC,SET,Financials,Finance & Securities,MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED
MFEC,MFEC,SET,Technology,Information & Communication Technology,MFEC PUBLIC COMPANY LIMITED
MGT,MGT,MAI,Industrial,-,MEGACHEM (THAILAND) PUBLIC COMPANY LIMITED
MICRO,MICRO,SET,Financials,Finance & Securities,MICRO LEASING PUBLIC COMPANY LIMITED
MIDA,MIDA,SET,Services,Commerce,MIDA ASSETS PUBLIC COMPANY LIMITED
M-II,M-II,SET,Property & Construction,Property Fund & REITs,MFC INDUSTRIAL INVESTMENT PROPERTY AND LEASEHOLD FUND
MILL,MILL,SET,Industrials,Steel,MILLCON STEEL PUBLIC COMPANY LIMITED
MINT,MINT,SET,Agro & Food Industry,Food & Beverage,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED
MIPF,MIPF,SET,Property & Construction,Property Fund & REITs,MILLIONAIRE PROPERTY FUND
MIT,MIT,SET,Property & Construction,Property Fund & REITs,MFC INDUSTRIAL REAL ESTATE INVESTMENT TRUST
MITSIB,MITSIB,MAI,Financials,-,MITSIB LEASING PUBLIC COMPANY LIMITED
MJD,MJD,SET,Property & Construction,Property Development,MAJOR DEVELOPMENT PUBLIC COMPANY LIMITED
MJLF,MJLF,SET,Property & Construction,Property Fund & REITs,MAJOR CINEPLEX LIFESTYLE LEASEHOLD PROPERTY FUND
MK,MK,SET,Property & Construction,Property Development,M.K. REAL ESTATE DEVELOPMENT PUBLIC COMPANY LIMITED
ML,ML,SET,Financials,Finance & Securities,"MIDA LEASING PUBLIC CO., LTD."
MM,MM,MAI,Agro & Food Industry,-,MUDMAN PUBLIC COMPANY LIMITED
MNIT,MNIT,SET,Property & Construction,Property Fund & REITs,MFC-NICHADA THANI PROPERTY FUND
MNIT2,MNIT2,SET,Property & Construction,Property Fund & REITs,NICHADA THANI PROPERTY FUND 2
MNRF,MNRF,SET,Property & Construction,Property Fund & REITs,MULTI-NATIONAL RESIDENCE FUND
MODERN,MODERN,SET,Consumer Products,Home & Office Products,MODERNFORM GROUP PUBLIC COMPANY LIMITED
MONO,MONO,SET,Services,Media & Publishing,MONO NEXT PUBLIC COMPANY LIMITED
MOONG,MOONG,MAI,Consumer Products,-,MOONG PATTANA INTERNATIONAL PUBLIC COMPANY LIMITED
MORE,MORE,MAI,Services,-,MORE RETURN PUBLIC COMPANY LIMITED
M-PAT,M-PAT,SET,Property & Construction,Property Fund & REITs,MFC PATONG HERITAGE PROPERTY FUND
MPG,MPG,MAI,Services,-,MPG CORPORATION PUBLIC COMPANY LIMITED
MPIC,MPIC,SET,Services,Media & Publishing,M PICTURES ENTERTAINMENT PUBLIC COMPANY LIMITED
MSC,MSC,SET,Technology,Information & Communication Technology,METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED
M-STOR,M-STOR,SET,Property & Construction,Property Fund & REITs,MFC-STRATEGIC STORAGE FUND
MTC,MTC,SET,Financials,Finance & Securities,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED
MTI,MTI,SET,Financials,Insurance,MUANG THAI INSURANCE PUBLIC COMPANY LIMITED
MVP,MVP,MAI,Services,-,M VISION PUBLIC COMPANY LIMITED
NBC,NBC,MAI,Services,-,NATION BROADCASTING CORPORATION PUBLIC COMPANY LIMITED
NC,NC,SET,Consumer Products,Fashion,NEWCITY (BANGKOK) PUBLIC COMPANY LIMITED
NCAP,NCAP,SET,Financials,Finance & Securities,NEXT CAPITAL PUBLIC COMPANY LIMITED
NCH,NCH,SET,Property & Construction,Property Development,N. C. HOUSING PUBLIC COMPANY LIMITED
NCL,NCL,MAI,Services,-,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED
NDR,NDR,MAI,Industrial,-,N.D. RUBBER PUBLIC COMPANY LIMITED
NEP,NEP,SET,Industrials,Packaging,NEP REALTY AND INDUSTRY PUBLIC COMPANY LIMITED
NER,NER,SET,Agro & Food Industry,Agribusiness,NORTH EAST RUBBER PUBLIC COMPANY LIMITED
NETBAY,NETBAY,MAI,Technology,-,NETBAY PUBLIC COMPANY LIMITED
NEW,NEW,SET,Services,Health Care Services,WATTANA KARNPAET PUBLIC COMPANY LIMITED
NEWS,NEWS,MAI,Services,-,NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED
NEX,NEX,SET,Technology,Electronic Components,NEX POINT PUBLIC COMPANY LIMITED
NFC,NFC,SET,Industrials,Petrochemicals & Chemicals,NFC PUBLIC COMPANY LIMITED
NINE,NINE,MAI,Services,-,NATION INTERNATIONAL EDUTAINMENT PUBLIC COMPANY LIMITED
NKI,NKI,SET,Financials,Insurance,THE NAVAKIJ INSURANCE PUBLIC COMPANY LIMITED
NMG,NMG,SET,Services,Media & Publishing,NATION MULTIMEDIA GROUP PUBLIC COMPANY LIMITED
NNCL,NNCL,SET,Property & Construction,Property Development,NAVANAKORN PUBLIC COMPANY LIMITED
NOBLE,NOBLE,SET,Property & Construction,Property Development,NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED
NOK,NOK,SET,Services,Transportation & Logistics,NOK AIRLINES PUBLIC COMPANY LIMITED
NPK,NPK,MAI,Consumer Products,-,NEW PLUS KNITTING PUBLIC COMPANY LIMITED
NRF,NRF,SET,Agro & Food Industry,Food & Beverage,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED
NSI,NSI,SET,Financials,Insurance,NAM SENG INSURANCE PUBLIC COMPANY LIMITED
NTV,NTV,SET,Services,Health Care Services,NONTHAVEJ HOSPITAL PUBLIC COMPANY LIMITED
NUSA,NUSA,SET,Property & Construction,Property Development,NUSASIRI PUBLIC COMPANY LIMITED
NVD,NVD,SET,Property & Construction,Property Development,NIRVANA DAII PUBLIC COMPANY LIMITED
NWR,NWR,SET,Property & Construction,Construction Services,NAWARAT PATANAKARN PUBLIC COMPANY LIMITED
NYT,NYT,SET,Services,Transportation & Logistics,NAMYONG TERMINAL PUBLIC COMPANY LIMITED
OCC,OCC,SET,Consumer Products,Personal Products & Pharmaceuticals,O.C.C. PUBLIC COMPANY LIMITED
OCEAN,OCEAN,MAI,Consumer Products,-,OCEAN COMMERCE PUBLIC COMPANY LIMITED
OGC,OGC,SET,Consumer Products,Home & Office Products,OCEAN GLASS PUBLIC COMPANY LIMITED
OHTL,OHTL,SET,Services,Tourism & Leisure,OHTL PUBLIC COMPANY LIMITED
OISHI,OISHI,SET,Agro & Food Industry,Food & Beverage,OISHI GROUP PUBLIC COMPANY LIMITED
ORI,ORI,SET,Property & Construction,Property Development,ORIGIN PROPERTY PUBLIC COMPANY LIMITED
OSP,OSP,SET,Agro & Food Industry,Food & Beverage,OSOTSPA PUBLIC COMPANY LIMITED
OTO,OTO,MAI,Services,-,ONE TO ONE CONTACTS PUBLIC COMPANY LIMITED
PACE,PACE,SET,Property & Construction,Property Development,PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED
PAE,PAE,SET,Property & Construction,Construction Services,PAE (THAILAND) PUBLIC COMPANY LIMITED
PAF,PAF,SET,Consumer Products,Fashion,PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED
PAP,PAP,SET,Industrials,Steel,PACIFIC PIPE PUBLIC COMPANY LIMITED
PATO,PATO,SET,Industrials,Petrochemicals & Chemicals,PATO CHEMICAL INDUSTRY PUBLIC COMPANY LIMITED
PB,PB,SET,Agro & Food Industry,Food & Beverage,PRESIDENT BAKERY PUBLIC COMPANY LIMITED
PCSGH,PCSGH,SET,Industrials,Automotive,P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED
PDG,PDG,MAI,Industrial,-,PRODIGY PUBLIC COMPANY LIMITED
PDI,PDI,SET,Resources,Energy & Utilities,PADAENG INDUSTRY PUBLIC COMPANY LIMITED
PDJ,PDJ,SET,Consumer Products,Fashion,PRANDA JEWELRY PUBLIC COMPANY LIMITED
PE,PE,SET,Financials,Finance & Securities,PREMIER ENTERPRISE PUBLIC COMPANY LIMITED
PERM,PERM,SET,Industrials,Steel,PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED
PF,PF,SET,Property & Construction,Property Development,PROPERTY PERFECT PUBLIC COMPANY LIMITED
PG,PG,SET,Consumer Products,Fashion,PEOPLE'S GARMENT PUBLIC COMPANY LIMITED
PHOL,PHOL,MAI,Services,-,PHOL DHANYA PUBLIC COMPANY LIMITED
PICO,PICO,MAI,Services,-,PICO THAILAND PUBLIC COMPANY LIMITED
PIMO,PIMO,MAI,Industrial,-,PIONEER MOTOR PUBLIC COMPANY LIMITED
PJW,PJW,MAI,Industrial,-,PANJAWATTANA PLASTIC PUBLIC COMPANY LIMITED
PK,PK,SET,Industrials,Industrial Materials & Machinery,PATKOL PUBLIC COMPANY LIMITED
PL,PL,SET,Financials,Finance & Securities,PHATRA LEASING PUBLIC COMPANY LIMITED
PLANB,PLANB,SET,Services,Media & Publishing,PLAN B MEDIA PUBLIC COMPANY LIMITED
PLANET,PLANET,MAI,Technology,-,PLANET COMMUNICATIONS ASIA PUBLIC COMPANY LIMITED
PLAT,PLAT,SET,Property & Construction,Property Development,THE PLATINUM GROUP PUBLIC COMPANY LIMITED
PLE,PLE,SET,Property & Construction,Construction Services,POWER LINE ENGINEERING PUBLIC COMPANY LIMITED
PM,PM,SET,Agro & Food Industry,Food & Beverage,PREMIER MARKETING PUBLIC COMPANY LIMITED
PMTA,PMTA,SET,Industrials,Petrochemicals & Chemicals,PM THORESEN ASIA HOLDINGS PUBLIC COMPANY LIMITED
POLAR,POLAR,SET,Property & Construction,Property Development,POLARIS CAPITAL PUBLIC COMPANY LIMITED
POMPUI,POMPUI,SET,-,Companies Under Rehabilitation,KUANG PEI SAN FOOD PRODUCTS PUBLIC COMPANY LIMITED
POPF,POPF,SET,Property & Construction,Property Fund & REITs,PRIME OFFICE LEASEHOLD PROPERTY FUND
PORT,PORT,SET,Services,Transportation & Logistics,SAHATHAI TERMINAL PUBLIC COMPANY LIMITED
POST,POST,SET,Services,Media & Publishing,BANGKOK POST PUBLIC COMPANY LIMITED
PPF,PPF,SET,Property & Construction,Property Fund & REITs,PINTHONG INDUSTRIAL PARK PROPERTY FUND
PPM,PPM,MAI,Industrial,-,PORN PROM METAL PUBLIC COMPANY LIMITED
PPP,PPP,SET,Property & Construction,Construction Materials,PREMIER PRODUCTS PUBLIC COMPANY LIMITED
PPPM,PPPM,SET,Agro & Food Industry,Agribusiness,PP PRIME PUBLIC COMPANY LIMITED
PPS,PPS,MAI,Property & Construction,-,PROJECT PLANNING SERVICE PUBLIC COMPANY LIMITED
PR9,PR9,SET,Services,Health Care Services,PRARAM 9 HOSPITAL PUBLIC COMPANY LIMITED
PRAKIT,PRAKIT,SET,Services,Media & Publishing,PRAKIT HOLDINGS PUBLIC COMPANY LIMITED
PRAPAT,PRAPAT,MAI,Industrial,-,PEERAPAT TECHNOLOGY PUBLIC COMPANY LIMITED
PREB,PREB,SET,Property & Construction,Construction Services,PRE-BUILT PUBLIC COMPANY LIMITED
PRECHA,PRECHA,SET,Property & Construction,Property Development,PREECHA GROUP PUBLIC COMPANY LIMITED
PRG,PRG,SET,Agro & Food Industry,Food & Beverage,PATUM RICE MILL AND GRANARY PUBLIC COMPANY LIMTED
PRIME,PRIME,SET,Resources,Energy & Utilities,PRIME ROAD POWER PUBLIC COMPANY LIMITED
PRIN,PRIN,SET,Property & Construction,Property Development,PRINSIRI PUBLIC COMPANY LIMITED
PRINC,PRINC,SET,Services,Health Care Services,PRINCIPAL CAPITAL PUBLIC COMPANY LIMITED
PRM,PRM,SET,Services,Transportation & Logistics,PRIMA MARINE PUBLIC COMPANY LIMITED
PRO,PRO,SET,Services,Professional Services,PROFESSIONAL WASTE TECHNOLOGY (1999) PUBLIC COMPANY LIMITED
PROSPECT,PROSPECT,SET,Property & Construction,Property Fund & REITs,PROSPECT LOGISTICS AND INDUSTRIAL LEASEHOLD REAL ESTATE INVESTMENT TRUST
PROUD,PROUD,MAI,Property & Construction,-,PROUD REAL ESTATE PUBLIC COMPANY LIMITED
PSH,PSH,SET,Property & Construction,Property Development,PRUKSA HOLDING PUBLIC COMPANY LIMITED
PSL,PSL,SET,Services,Transportation & Logistics,PRECIOUS SHIPPING PUBLIC COMPANY LIMITED
PSTC,PSTC,MAI,Resources,-,POWER SOLUTION TECHNOLOGIES PUBLIC COMPANY LIMITED
PT,PT,SET,Technology,Information & Communication Technology,PREMIER TECHNOLOGY PUBLIC COMPANY LIMITED
PTG,PTG,SET,Resources,Energy & Utilities,PTG ENERGY PUBLIC COMPANY LIMITED
PTL,PTL,SET,Industrials,Packaging,POLYPLEX (THAILAND) PUBLIC COMPANY LIMITED
PTT,PTT,SET,Resources,Energy & Utilities,PTT PUBLIC COMPANY LIMITED
PTTEP,PTTEP,SET,Resources,Energy & Utilities,PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED
PTTGC,PTTGC,SET,Industrials,Petrochemicals & Chemicals,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED
PYLON,PYLON,SET,Property & Construction,Construction Services,PYLON PUBLIC COMPANY LIMITED
Q-CON,Q-CON,SET,Property & Construction,Construction Materials,QUALITY CONSTRUCTION PRODUCTS PUBLIC COMPANY LIMITED
QH,QH,SET,Property & Construction,Property Development,QUALITY HOUSES PUBLIC COMPANY LIMITED
QHHR,QHHR,SET,Property & Construction,Property Fund & REITs,QUALITY HOUSES HOTEL AND RESIDENCE FREEHOLD AND LEASEHOLD PROPERTY FUND
QHOP,QHOP,SET,Property & Construction,Property Fund & REITs,QUALITY HOSPITALITY LEASEHOLD PROPERTY FUND
QHPF,QHPF,SET,Property & Construction,Property Fund & REITs,QUALITY HOUSES LEASEHOLD PROPERTY FUND
QLT,QLT,MAI,Services,-,QUALITECH PUBLIC COMPANY LIMITED
QTC,QTC,MAI,Resources,-,QTC ENERGY PUBLIC COMPANY LIMITED
RAM,RAM,SET,Services,Health Care Services,RAMKHAMHAENG HOSPITAL PUBLIC COMPANY LIMITED
RATCH,RATCH,SET,Resources,Energy & Utilities,RATCH GROUP PUBLIC COMPANY LIMITED
RBF,RBF,SET,Agro & Food Industry,Food & Beverage,R&B FOOD SUPPLY PUBLIC COMPANY LIMITED
RCI,RCI,SET,Property & Construction,Construction Materials,THE ROYAL CERAMIC INDUSTRY PUBLIC COMPANY LIMITED
RCL,RCL,SET,Services,Transportation & Logistics,REGIONAL CONTAINER LINES PUBLIC COMPANY LIMITED
RICHY,RICHY,SET,Property & Construction,Property Development,RICHY PLACE 2002 PUBLIC COMPANY LIMITED
RJH,RJH,SET,Services,Health Care Services,RAJTHANEE HOSPITAL PUBLIC COMPANY LIMITED
RML,RML,SET,Property & Construction,Property Development,RAIMON LAND PUBLIC COMPANY LIMITED
ROCK,ROCK,SET,Consumer Products,Home & Office Products,ROCKWORTH PUBLIC COMPANY LIMITED
ROH,ROH,SET,Services,Tourism & Leisure,ROYAL ORCHID HOTEL (THAILAND) PUBLIC COMPANY LIMITED
ROJNA,ROJNA,SET,Property & Construction,Property Development,ROJANA INDUSTRIAL PARK PUBLIC COMPANY LIMITED
RP,RP,MAI,Services,-,RAJA FERRY PORT PUBLIC COMPANY LIMITED
RPC,RPC,SET,Resources,Energy & Utilities,RPCG PUBLIC COMPANY LIMITED
RPH,RPH,SET,Services,Health Care Services,RATCHAPHRUEK HOSPITAL PUBLIC COMPANY LIMITED
