,market-cap,symbol,normal_name
476,44000.01,SVH,SAMITIVEJ
477,11056.85,SVI,SVI
478,848.4,SVOA,SVOA
479,2124.91,SYMC,SYMPHONY COMMUNICATION
480,8781.74,SYNEX,SYNNEX (THAILAND)
481,4352.0,SYNTEC,SYNTEC CONSTRUCTION
482,2040.0,TAE,THAI AGRO ENERGY
483,22820.43,TASCO,TIPCO ASPHALT
484,1705.0,TBSP,TBSP
485,1016.4,TC,TROPICAL CANNING
486,57964.54,TCAP,THANACHART CAPITAL
487,524.56,TCC,THAI CAPITAL
488,16518.16,TCCC,THAI CENTRAL CHM.
489,538.54,TCJ,TCJ ASIA
490,1266.89,TCMC,TCM CORPORATION ORS
491,299.25,TCOAT,THAI COATING INDL.
492,566.99,TEAM,TEAM PRECISION
493,1217.2,TEAMG,TEAM CNSL.ENGR.&. MAN.
494,46156.96,TFFIF,THAILAND FUTURE
495,15544.45,TFG,THAIFOODS GROUP
496,491.4,TFI,THAI FILM INDUSTRIES
497,52752.63,TFMAMA,THAI PRESIDENT FOODS
498,566.33,TGPRO,THAI-GERMAN PRODUCTS
499,675.52,TH,TONG HUA HOLDING
500,26411.53,THAI,THAI AIRWAYS INTL.
501,22501.1,THANI,RATCHTHANI LEASING
502,6631.42,THCOM,THAICOM
503,1774.32,THE,STEEL
504,28019.64,THG,THONBURI HEALTHCARE GROUP
505,1896.0,THIP,THANTAWAN INDUSTRY
506,3667.04,THRE,THAI REINSURANCE
507,3870.0,THREL,THAIRE LIFE ASSURANCE
508,783.0,TIF1,THAI INDUSTRIAL 1
509,13620.0,TIP,DHIPAYA INSURANCE
510,3546.96,TIPCO,TIPCO FOODS
511,62650.49,TISCO,TISCO FINANCIAL GROUP
512,1320.0,TIW,THAILAND IRON WORKS
513,4250.0,TK,THITIKORN
514,11109.0,TKN,TAOKAENOI FOOD & MKTG.
515,3361.65,TKS,TKS TECHNOLOGIES
516,276.06,TKT,T KRUNGTHAI INDUSTRIES
517,46108.91,TLGF,TESCO LOTUS RET.GW. FH. &.LH.
518,1892.0,TLHPF,THAILAND HOSPITALITY PROPERTY
519,96474.06,TMB,TMB BANK
520,3150.0,TMD,THAI METAL DRUM
521,5703.46,TMT,TMT STEEL
522,1090.09,TNITY,TRINITY WATTHANA
523,2256.0,TNL,THANULUX
524,396.2,TNPC,THAI NAM PLASTICS
525,509.59,TNPF,TRINITY FHLH.PR.FUND
526,2925.0,TNR,THAI NIPPON RUBBER INDUSTRY
527,66956.94,TOA,TOA PAINT THAILAND
528,2068.03,TOG,THAI OPTICAL GROUP
529,135151.8,TOP,THAI OIL
530,1176.0,TOPP,THAI OPP
531,789.75,TPA,THAI POLY ACRYLIC
532,2480.43,TPBI,TPBI
533,1458.0,TPCORP,TEXTILE PRESTIGE
534,40222.91,TPIPL,TPI POLENE
535,47459.98,TPIPP,TPI POLENE POWER
536,1489.17,TPOLY,THAI POLYCONS
537,633.75,TPP,THAI PACK.AND PRINT.
538,6898.5,TPRIME,THAI.PRI.PR.FHLH. REIT
539,6840.0,TQM,TQM CORPORATION
540,8568.0,TR,THAI RAYON
541,2465.27,TRC,TRC CONSTRUCTION
542,3052.76,TRITN,TRITON HOLDING
543,2776.98,TRU,THAI RUNG UNION CAR
544,1022.22,TRUBB,THAI RUBBER LATEX GROUP
545,173514.6,TRUE,TRUE CORPORATION
546,3455.34,TSC,THAI STEEL CABLE
547,3963.96,TSE,THAI SOLAR ENERGY
548,584.15,TSI,THAI SETAKIJ IN.
549,944.54,TSR,THIENSURAT
550,2683.29,TSTE,THAI SUGAR TERMINAL
551,5558.21,TSTH,TATA STEEL (THAILAND)
552,9476.81,TTA,THORESEN THAI AG.
553,4158.0,TTCL,TTCL
554,1325.0,TTI,THAI TEXTILE
555,3978.0,TTLPF,TALAAD THAI LEASEHOLD PROPERTY
557,49475.99,TTW,THAI TAP WATER SUPPLY
558,176.15,TUPF,T U DOME RESD.CMX. LH. PR.
559,77303.19,TU,THAI UNION GROUP
560,1139.28,TVI,THAIVIVAT INSURANCE
561,21428.19,TVO,THAI VEGETABLE OIL
562,1053.0,TWP,THAI WIRE PRODUCTS
563,7307.49,TWPC,THAI WAH
564,769.41,TWZ,TWZ
565,1611.22,TYCN,TYCOONS WORLDWIDE GROUP
566,14371.11,U,U CITY
567,2657.07,UAC,UAC GLOBAL PUBLIC COMPANY LIMITED
568,1028.9,UMI,UNION MOSAIC
569,10377.76,UNIQ,UNIQUE ENGR.AND CON.
570,1869.11,UOBKH,UOB KAY HIAN SECURITIES
571,612.5,UP,UNION PLASTIC
572,485.62,UPF,UNION PIONEER FABRIC
573,1412.86,UPOIC,UNITED PALM OIL IND.
574,276.48,URBNPF,URBANA PROPERTY (LEASE HOLD)
575,630.0,UT,UNION TEXTILE INDUSTRIES
576,6175.0,UTP,UNITED PAPER
577,11662.75,UV,UNIVENTURES
578,5076.0,UVAN,UNIVANICH PALM OIL
579,739.28,VARO,VAROPAKORN
580,66742.06,VGI,VGI
581,26398.73,VIBHA,VIBHAVADI MEDICAL
